id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,sqft_living15,sqft_lot15,predicted_price
7896300592,20150114T000000,303500,6,4.5,3390,7200,2,0,0,0.5,0.6363636363636364,2440,950,0.930434782608696,0,98118,2040,7214,532608.5627154
7883603648,20140522T000000,300000,5,2.5,2760,6000,2,0,0,0.5,0.6363636363636364,2760,0,0.9217391304347835,0,98108,1360,6000,389469.4304923965
5248800440,20150217T000000,275000,2,1,840,4000,1,0,0,0.5,0.4545454545454545,840,0,0.3652173913043484,0,98108,1100,4000,224608.59420886217
923000115,20141029T000000,588000,3,1.75,2310,7620,2,0,0,0.5,0.6363636363636364,2310,0,0.3652173913043484,1988,98177,2200,7672,622609.8693967711
472000015,20140516T000000,490000,2,1,1160,5000,1,0,0,0.75,0.6363636363636364,1160,0,0.32173913043478564,0,98117,1750,5000,497239.527692101
2946002914,20150102T000000,325000,3,1.75,2300,6200,1,0,0,0.75,0.5454545454545454,1150,1150,0.608695652173914,0,98198,1740,6600,430902.4060789657
8035600590,20140716T000000,335000,3,2.75,2850,8039,1,0,0,0.75,0.6363636363636364,1540,1310,0.7739130434782631,0,98031,2240,7727,570435.442572569
9324300030,20140703T000000,264500,4,2.25,2060,11385,1,0,0,0.75,0.5454545454545454,1200,860,0.53913043478261,0,98023,2110,11385,449978.48099079664
2599000130,20140716T000000,247200,3,1,1590,11200,1,0,0,0.75,0.5454545454545454,1590,0,0.5304347826086975,0,98092,1560,9750,371107.0642689827
3362400431,20140626T000000,518500,3,3.5,1590,1102,3,0,0,0.5,0.6363636363636364,1590,0,0.9565217391304373,0,98103,1620,3166,466596.0260347048
1794501415,20140528T000000,840500,3,2,2520,5400,1.5,0,0,0.75,0.6363636363636364,1410,1110,0.05217391304347885,0,98119,1960,5400,723896.7443260809
2896310420,20150219T000000,615000,4,2.75,3120,34040,2,0,0,0.5,0.7272727272727273,3120,0,0.843478260869567,0,98010,2420,25201,653982.1073610934
1186000125,20140509T000000,742500,4,2.75,3100,3773,2,0,0,0.5,0.6363636363636364,2000,1100,0.1652173913043491,1996,98122,2130,3777,744766.5850828134
